#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI14FSYM134	KI14FSYM134_MERGED-MAX-MISMATCH-3	134	coral	2014	134	Montipora_foliosa	30	gone	2014
KI15aFSYM130	KI15aFSYM130_MERGED-MAX-MISMATCH-3	134	coral	2015Jan	130	Montipora_foliosa	30	gone	2015Jan_Post
KI15bFSYM043	KI15bFSYM043_MERGED-MAX-MISMATCH-3	134	coral	2015May	43	Montipora_foliosa	30	gone	2015May
KI14FSYM135	KI14FSYM135_MERGED-MAX-MISMATCH-3	135	coral	2014	135	Pocillopora_eydouxi	30	gone	2014
KI15aFSYM131	KI15aFSYM131_MERGED-MAX-MISMATCH-3	135	coral	2015Jan	131	Pocillopora_eydouxi	30	gone	2015Jan_Post
KI15bFSYM044	KI15bFSYM044_MERGED-MAX-MISMATCH-3	135	coral	2015May	44	Pocillopora_eydouxi	30	gone	2015May
KI14FSYM136	KI14FSYM136_MERGED-MAX-MISMATCH-3	136	coral	2014	136	Porites_lobata	30	gone	2014
KI15aFSYM132	KI15aFSYM132_MERGED-MAX-MISMATCH-3	136	coral	2015Jan	132	Porites_lobata	30	gone	2015Jan_Post
KI15bFSYM045	KI15bFSYM045_MERGED-MAX-MISMATCH-3	136	coral	2015May	45	Porites_lobata	30	gone	2015May
KI14FSYM137	KI14FSYM137_MERGED-MAX-MISMATCH-3	137	coral	2014	137	Montipora_foliosa	30	gone	2014
KI15aFSYM133	KI15aFSYM133_MERGED-MAX-MISMATCH-3	137	coral	2015Jan	133	Montipora_foliosa	30	gone	2015Jan_Post
KI15bFSYM046	KI15bFSYM046_MERGED-MAX-MISMATCH-3	137	coral	2015May	46	Montipora_foliosa	30	gone	2015May
KI15bFSYM047	KI15bFSYM047_MERGED-MAX-MISMATCH-3	139	coral	2015May	47	Pocillopora_eydouxi	30	UK	2015May
KI14FSYM140	KI14FSYM140_MERGED-MAX-MISMATCH-3	140	coral	2014	140	Porites_lobata	30	UK	2014
KI15aFSYM135	KI15aFSYM135_MERGED-MAX-MISMATCH-3	140	coral	2015Jan	135	Porites_lobata	30	UK	2015Jan_Post
KI14FSYM142	KI14FSYM142_MERGED-MAX-MISMATCH-3	142	coral	2014	142	Pocillopora_eydouxi	30	UK	2014
KI15aFSYM136	KI15aFSYM136_MERGED-MAX-MISMATCH-3	142	coral	2015Jan	136	Pocillopora_eydouxi	30	UK	2015Jan_Post
KI14FSYM143	KI14FSYM143_MERGED-MAX-MISMATCH-3	143	coral	2014	143	Montipora_foliosa	30	dead	2014
